;Tomita 2;;;;;;;
;Regular expressions;;;;Regular grammars;;;
Run;Elapsed time (ms);Score;Generation;Result;Elapsed time (ms);Score;Generation;Result
1;110;1;0;(ab)*;6605;1;4;"A = epsilon|'a'C;
C = 'b'A;"
2;114;1;0;(ab)*;6892;1;4;"C = 'a'B|epsilon;
B = 'b'C;"
3;105;1;0;(ab)*;12487;1;8;"C = epsilon|'a'B;
B = 'b'C;"
4;101;1;0;(ab)*;9202;1;6;"C = epsilon|'a'A;
A = 'b'C;"
5;139;1;0;(ab)*;21667;1;18;"C = epsilon|'a'B;
B = 'b'|'b'C;
A = 'a'B;"
6;104;1;0;(ab)*;11541;1;7;"A = 'a'B|epsilon;
B = 'b'A;
C = 'a';"
7;93;1;0;(ab)*;9379;1;5;"A = epsilon|'a'B;
B = 'b'A;"
8;111;1;0;(ab)*;11465;1;7;"C = epsilon|'a'B;
B = 'b'C;"
9;102;1;0;(ab)*;14671;1;8;"A = 'a'B|epsilon;
C = 'a'A;
B = 'b'A;"
10;105;1;0;(ab)*;14400;1;8;"C = epsilon|'a'A;
A = 'b'C;
B = epsilon;"
Highest;139;1;0;;21667;1;18;
Lowest;93;1;0;;6605;1;4;
Avg;108;1;0;;11831;1;8;
Best result;93;1;0;(ab)*;6605;1;4;"A = epsilon|'a'C;
C = 'b'A;"
;;;;;;;;
