;Tomita 6;;;;;;;
;Regular expressions;;;;Regular grammars;;;
Run;Elapsed time (ms);Score;Generation;Result;Elapsed time (ms);Score;Generation;Result
1;24319;0,777;50;(((((a|(b(ba)))|(a|(a|(ba))))|(b(a|((b(b(a(b|a))))b))))|((ba)|a))|((((a|(b(b(b|a))))|(ba))b)(((b|a)|(a(ba)))|a)))*;544244;0,793;50;"A = 'a'B|epsilon|'b'C|'b'B;
C = 'a'B|'b'A;
B = 'a'A|'a'B|'b'C;"
2;26922;0,793;50;((((a|b)a)|b)((a|(a|(b((b|(a|b))|a))))|(b((a((a|(b(b|a)))|(b(b|a))))|a))))*;571593;0,763;50;"C = 'a'B|epsilon|'a'C|'b'B|'b'A;
A = 'a'B|'b'C;
B = 'a'C;"
3;13745;0,788;50;(((((a|b)|((b|a)b))(a|(b(b|a))))|b)(a|(b((ba)|(b|a)))))*;520629;0,771;50;"A = epsilon|'a'C|'b'B;
B = 'a'A|'a'C|'b'C|'b'A;
C = 'a'A;"
4;12019;0,775;50;((b(b|a))|((a|(((b(b|a))|((a|b)a))|((b(a|b))a)))a))*;525881;0,847;50;"C = 'a'B|epsilon|'a'|'b'A;
A = 'a'C|'b'B;
B = 'a'A|'b'C;"
5;13380;0,768;50;(a*|(((a|b)|((b|a)|a))(a|(b(b|a)))*));514690;0,777;50;"C = 'a'A|epsilon|'b'A;
B = 'a'B|epsilon|'b'A;
A = 'a'B|'a'C|'b'B;"
6;37420;0,826;50;((((b((((a|b)|(((b(b|a))|a)|(a|((b(b|a))b))))((b(b|a))|a))(((b(b|a))(a|b))|a)))(b|a))(ab))*|((((((b|(((ab)(a|((((b(b|a))(b|a))|a)|b)))((b|a)|b)))|((b|a)a))((ab)|a)*)|(((((((b(b|a))(b|a))|(b|a))|b)((b(b|a))|a))|(b|a))((b(b|a))|a)))((b(b|((ab)(a|b))))|a))((b(b|a))|a)*));566259;0,793;50;"B = epsilon|'a'C|'b'C|'b'A;
C = 'a'A|'b'|'a'|'b'A;
A = 'a'A|'b'C|'a';"
7;16892;0,780;50;(((a|(b(a|b)))*|((b(a|(b|a)))|((((b(a|b))|(ab)*)|(b(a|(b|(a|(a|(b(b|a)))))))*)|(a|(b(b|a))))))|(a|(b(a|b))));543283;0,768;50;"A = epsilon|'a'C|'b'|'b'C;
C = epsilon|'a'C|'b'B;
B = 'a'C|'b'C|'a';"
8;16193;0,784;50;((((b|a)a)(b(a|b)))|((((((a|(b(a|(b(((b|a)|a)|(a|b))))))|b)|b)|(((a|b)|b)((ba)|((a|(b(b|a)))|(b|a)))))a)|(b(a|b))))*;451692;0,735;50;"C = 'a'A|epsilon|'a'C|'b'B|'a';
B = 'a'C|'b'B|'b'A;
A = epsilon|'a';"
9;47719;0,789;50;((((a|(b(a|b)))*|((ab)*(b((a|((a(ba))((a|((ab)((ba)b)))|(ab))))*|((b|(ab))b+)))))|(((a*|((((a|(b(b|a)))*|((ab)*a?))|(b(b|((a(b|a))*b+))))|(b|(((b|(b|a))b)|((ab)((a|(((ab)|(a|((a(ba))(b|(ab)))))(((b(b|a))b)a)))|(b|a)))))))|b)|(((a|(b((a|b)|a)))*|((((b|((((a(b|a))*|b)b)|a))|b)b)|a))|((ab)(((ab)|((((a|(a|(b(a|b))))*|((a|(ba))a?))|(b((a(a(ab)))*|((a(((a|b)|a)b))*b+))))|((a|b)|a)))|b)))))|b);533116;0,788;50;"B = 'a'A|epsilon|'b'C;
A = 'a'A|'a'B|'b'A;
C = 'a'B|'b'B;"
10;10670;0,762;50;(a|(b(b|a)))*;559246;0,776;50;"C = 'a'A|'a'B|epsilon|'b'B|'b'A;
B = 'a'B|'a'C|'b'B|'a';
A = 'b'|'b'B;"
Highest;47719;0,826;50;;571593;0,847;50;
Lowest;10670;0,762;50;;451692;0,735;50;
Avg;21928;0,784;50;;533063;0,781;50;
Best result;37420;0,826;50;((((b((((a|b)|(((b(b|a))|a)|(a|((b(b|a))b))))((b(b|a))|a))(((b(b|a))(a|b))|a)))(b|a))(ab))*|((((((b|(((ab)(a|((((b(b|a))(b|a))|a)|b)))((b|a)|b)))|((b|a)a))((ab)|a)*)|(((((((b(b|a))(b|a))|(b|a))|b)((b(b|a))|a))|(b|a))((b(b|a))|a)))((b(b|((ab)(a|b))))|a))((b(b|a))|a)*));525881;0,847;50;"C = 'a'B|epsilon|'a'|'b'A;
A = 'a'C|'b'B;
B = 'a'A|'b'C;"
;;;;;;;;
